ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,richFactor
BP,GO:0007204,positive regulation of cytosolic calcium ion concentration,31/1175,170/18986,0.182352941176471,2.94651314142678,6.54784259567431,5.11275827116996e-08,2.39610184581106e-05,2.11455310458882e-05,ACKR3/BDKRB2/C3AR1/C5AR1/CACNA1A/CACNA2D1/CAV1/CCR4/CCR5/CD36/CD52/CHRNA10/EDNRB/ESR1/F2R/FPR1/FPR2/GPR35/JPH2/KNG1/LPAR1/MCHR1/OPRM1/P2RX5/PTGER2/PTGER4/PTGFR/PTGIR/S1PR3/SLC8A1/TRPC6,31,1.82352941176471
BP,GO:0007411,axon guidance,38/1175,236/18986,0.161016949152542,2.60175982690227,6.35964457647267,5.46743147931788e-08,2.39610184581106e-05,2.11455310458882e-05,ARK2C/ARTN/ARX/BCL11B/CELSR3/CNTN1/CNTN4/CNTN5/CXCL12/EFNA5/EGR2/ENAH/EPHA7/EPHB1/FEZ1/FLRT2/FOXD1/ISL1/KIAA1755/KIF5C/L1CAM/LAMB2/LHX3/NELL2/NEO1/NGFR/NOG/NRP1/OR10A4/POU4F2/PTK2/PTK7/PTPRO/SEMA5B/TBR1/TUBB3/UNC5C/WNT3A,38,1.61016949152542
BP,GO:0097485,neuron projection guidance,38/1175,237/18986,0.160337552742616,2.59078193733728,6.32959396933225,6.13129009308252e-08,2.48034266150161e-05,2.18889538626727e-05,ARK2C/ARTN/ARX/BCL11B/CELSR3/CNTN1/CNTN4/CNTN5/CXCL12/EFNA5/EGR2/ENAH/EPHA7/EPHB1/FEZ1/FLRT2/FOXD1/ISL1/KIAA1755/KIF5C/L1CAM/LAMB2/LHX3/NELL2/NEO1/NGFR/NOG/NRP1/OR10A4/POU4F2/PTK2/PTK7/PTPRO/SEMA5B/TBR1/TUBB3/UNC5C/WNT3A,38,1.60337552742616
BP,GO:0007409,axonogenesis,59/1175,459/18986,0.128540305010893,2.07699253696751,5.99924458375662,7.53295506641731e-08,2.66410985983485e-05,2.35106941924357e-05,ACTBL2/AMIGO1/ANK3/APBB1/ARK2C/ARTN/ARX/BCL11B/CDKL5/CELSR3/CHODL/CNTN1/CNTN4/CNTN5/CXCL12/EFNA5/EGR2/ENAH/EPHA7/EPHB1/FEZ1/FGF13/FLRT2/FOXD1/ISL1/KIAA1755/KIF5C/L1CAM/LAMB2/LHX3/LRP4/LRRC4C/MAP6/MCF2/MT3/NELL2/NEO1/NGFR/NOG/NPTX1/NR4A2/NRP1/NTNG1/NTNG2/NTRK2/OR10A4/PLPPR4/PLXND1/POU4F1/POU4F2/PTK2/PTK7/PTPRO/SEMA5B/SZT2/TBR1/TUBB3/UNC5C/WNT3A,59,1.28540305010893
BP,GO:0071621,granulocyte chemotaxis,26/1175,129/18986,0.201550387596899,3.25671119907636,6.60563573389692,7.59871608623744e-08,2.66410985983485e-05,2.35106941924357e-05,C3AR1/C5AR1/CCL13/CCL2/CCL23/CCL24/CCL5/CD74/CXCL1/CXCL10/CXCL5/CXCL6/CXCL8/DNM1L/IL17RA/IL17RC/ITGA1/ITGB2/MSTN/PTK2/RIPOR2/S100A12/S100A8/S100A9/THBS1/TREM1,26,2.01550387596899
BP,GO:0006959,humoral immune response,45/1175,310/18986,0.145161290322581,2.34555936856555,6.13510303628793,8.24382389077282e-08,2.70964186509839e-05,2.39125128515904e-05,A2M/BPI/C1S/C3/C4BPA/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CD5L/CLU/CR1/CR1L/CR2/CTSG/CXCL1/CXCL10/CXCL12/CXCL5/CXCL6/CXCL8/DEFA4/DEFB1/FCER2/FCMR/GNLY/GPI/H2BC10/H2BC4/HLA-DQB1/HLA-DRB1/KNG1/LYZ/PRSS3/RGCC/RNASE3/RNASE6/S100A12/S100A9/SEMG1/SERPING1/SPON2/TREM1,45,1.45161290322581
BP,GO:0071674,mononuclear cell migration,36/1175,231/18986,0.155844155844156,2.51817629179331,5.96279313815101,2.79355353462086e-07,8.64194002268889e-05,7.62648763724049e-05,ANO6/ARTN/C3AR1/C5AR1/CCL2/CCL20/CCL23/CCL5/CCN3/CCR5/CD200R1/CD9/CD99/CTSG/CXCL10/CXCL12/CXCL16/DEFA4/EDNRB/FLT1/FPR2/ITGB7/MADCAM1/MCOLN2/MSTN/NLRP12/PDGFD/PLEC/PTK2/PTPRO/RIPOR2/S100A12/SLAMF8/THBS1/TNFRSF11A/TNFRSF14,36,1.55844155844156
BP,GO:0030900,forebrain development,53/1175,416/18986,0.127403846153846,2.05862929623568,5.60744088753796,4.58185672960055e-07,0.000133866580783163,0.000118136879069057,ALDH1A3/ARX/AXL/BCL11B/BMERB1/BMP4/CCDC141/CXCL12/DLX2/EGFR/ELAVL4/ERBB4/FEZ1/FGF10/FGF13/FUT1/GSC/HES1/IGF2BP1/ISL1/ITGAM/KCNA2/KCNA3/KIF26A/KRAS/LEF1/LHX3/LPAR1/MSX1/NDST1/NEUROG3/NOG/NR4A2/NRG3/NRP1/NTRK2/OLIG2/PAX5/PCDH9/POU1F1/POU4F1/PRDM13/RAX/RFX4/SLC38A2/SOX1/SOX3/SYNE2/SZT2/TAL2/TBR1/UNCX/WNT3A,53,1.27403846153846
BP,GO:0002430,complement receptor mediated signaling pathway,8/1175,15/18986,0.533333333333333,8.61775886524823,7.58067400672682,9.14391622007921e-07,0.000253093975796824,0.000223354718084927,C3/C3AR1/C5AR1/CR1/CR2/FPR1/FPR2/ITGAM,8,5.33333333333333
BP,GO:0007416,synapse assembly,38/1175,269/18986,0.141263940520446,2.28258482954995,5.44156975603767,1.63129358495844e-06,0.000428948648164822,0.000378545969267462,ADGRL3/AMIGO1/AMIGO2/CNTN5/CUX2/EFNA5/EPHA7/EPHB1/ERBB4/FGF13/FLRT2/GABRA1/GABRA4/GABRE/GPRASP3/GRM6/HTR4/LIN7A/LRP4/LRRTM3/MUSK/NPTX1/NRG3/NTNG2/NTRK2/PCDHB10/PCDHB11/PCDHB13/PCDHB14/PCDHB16/PCDHB5/PCDHB6/PCDHB9/PLXND1/POU4F1/SDK2/SPOCK2/WNT3A,38,1.41263940520446
BP,GO:0070588,calcium ion transmembrane transport,45/1175,348/18986,0.129310344827586,2.08943506969919,5.26831096969111,2.23238424231961e-06,0.000559052796683755,0.000493362512500611,ANO6/ATP2B3/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALHM1/CAMK2D/CAV1/CCR5/CHRNA10/CNGA1/CXCL10/EDNRB/F2R/GEM/GP9/GPR35/GRM6/HRC/ITPR2/JPH2/MCOLN2/MCOLN3/MCUB/OPRM1/P2RX5/PANX3/PKD1L1/PKD1L3/PKD2L1/PLCB4/PLCH1/PRNP/RYR1/SLC8A1/TMEM38A/TRPC1/TRPC6/TRPC7/TRPM5/TRPV3/WNT3A,45,1.29310344827586
BP,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,24/1175,136/18986,0.176470588235294,2.85146433041302,5.56556435191147,2.94076421962899e-06,0.000702976319592221,0.000620374614561924,BPI/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CXCL1/CXCL10/CXCL12/CXCL5/CXCL6/CXCL8/DEFA4/DEFB1/GNLY/H2BC10/H2BC4/KNG1/RNASE3/RNASE6/S100A12/S100A9/SEMG1,24,1.76470588235294
BP,GO:0070098,chemokine-mediated signaling pathway,19/1175,93/18986,0.204301075268817,3.30115762983299,5.71370038578697,3.40257185474528e-06,0.00074777078487995,0.000659905603533931,ACKR3/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCR4/CCR5/CXCL1/CXCL10/CXCL12/CXCL5/CXCL6/CXCL8/ENTREP1/FOXC1/GPR17/GPR35,19,2.04301075268817
BP,GO:0002548,monocyte chemotaxis,14/1175,54/18986,0.259259259259259,4.18918833727344,6.02780065644879,3.51108053501468e-06,0.00074777078487995,0.000659905603533931,ANO6/CCL2/CCL23/CCL5/CCN3/CTSG/CXCL10/CXCL12/FLT1/FPR2/PTPRO/S100A12/SLAMF8/TNFRSF11A,14,2.59259259259259
BP,GO:1990868,response to chemokine,20/1175,102/18986,0.196078431372549,3.16829370045891,5.63963867676951,3.69690823481245e-06,0.00074777078487995,0.000659905603533931,ACKR3/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCR4/CCR5/CXCL1/CXCL10/CXCL12/CXCL5/CXCL6/CXCL8/ENTREP1/FOXC1/GPR17/GPR35/RIPOR2,20,1.96078431372549
BP,GO:1990869,cellular response to chemokine,20/1175,102/18986,0.196078431372549,3.16829370045891,5.63963867676951,3.69690823481245e-06,0.00074777078487995,0.000659905603533931,ACKR3/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CCR4/CCR5/CXCL1/CXCL10/CXCL12/CXCL5/CXCL6/CXCL8/ENTREP1/FOXC1/GPR17/GPR35/RIPOR2,20,1.96078431372549
BP,GO:0007520,myoblast fusion,13/1175,48/18986,0.270833333333333,4.37620567375886,6.01537269558182,4.60860456097129e-06,0.00089765375504252,0.000792176900948243,ADAM12/ADAMTS15/CACNA1H/CD53/CD9/CXCL10/EHD2/GDF15/MYOG/NEO1/PLEKHO1/PTGFRN/RIPOR2,13,2.70833333333333
BP,GO:0003015,heart process,36/1175,262/18986,0.137404580152672,2.22022413513075,5.10823681157469,5.7804391239314e-06,0.00108569033402697,0.000958118650278704,ABCC9/ADORA1/ADORA3/ATP2B3/CACNA1H/CACNA2D1/CAMK2D/CAV1/CTNNA3/DES/DNM1L/DSG2/EDNRB/EPAS1/FGF13/HRC/HSPB7/ISL1/KCND2/KCND3/KCNH6/KCNJ3/MAP2K6/MIR30E/PPCS/RAMP3/RGS2/SGCG/SLC4A3/SLC8A1/TMEM38A/TMIGD3/TNNC1/TRPC1/WWTR1/ZMPSTE24,36,1.37404580152672
BP,GO:0031640,killing of cells of another organism,22/1175,124/18986,0.17741935483871,2.86679478380233,5.35665447072676,6.87204310731003e-06,0.00120466915671145,0.00106311712491684,CCL13/CCL20/CTSG/CXCL1/CXCL10/CXCL12/CXCL6/CXCL8/DEFA4/FCER2/GBP5/GBP7/GNLY/GZMB/GZMH/KNG1/LYZ/MICA/NKG7/S100A12/SEMG1/TREM1,22,1.7741935483871
BP,GO:0141061,disruption of cell in another organism,22/1175,124/18986,0.17741935483871,2.86679478380233,5.35665447072676,6.87204310731003e-06,0.00120466915671145,0.00106311712491684,CCL13/CCL20/CTSG/CXCL1/CXCL10/CXCL12/CXCL6/CXCL8/DEFA4/FCER2/GBP5/GBP7/GNLY/GZMB/GZMH/KNG1/LYZ/MICA/NKG7/S100A12/SEMG1/TREM1,22,1.7741935483871
BP,GO:0050921,positive regulation of chemotaxis,24/1175,145/18986,0.16551724137931,2.67447688921497,5.19865822312976,9.24081450437455e-06,0.00156765946704857,0.00138345504753098,ANO6/ARTN/C3AR1/C5AR1/CCL5/CCR4/CD74/CXCL10/CXCL12/CXCL8/DNM1L/F3/FGF10/FPR2/IL16/LPAR1/MET/MSTN/NRP1/PDGFD/PTK2/RIPOR2/THBS1/VEGFC,24,1.6551724137931
BP,GO:0019730,antimicrobial humoral response,28/1175,185/18986,0.151351351351351,2.44558021851639,5.0747852437072,1.01043571026444e-05,0.00161970251286131,0.00142938288832288,BPI/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CTSG/CXCL1/CXCL10/CXCL12/CXCL5/CXCL6/CXCL8/DEFA4/DEFB1/GNLY/H2BC10/H2BC4/KNG1/LYZ/PRSS3/RNASE3/RNASE6/S100A12/S100A9/SEMG1/SPON2,28,1.51351351351351
BP,GO:0141060,disruption of anatomical structure in another organism,22/1175,127/18986,0.173228346456693,2.79907522198023,5.2248272360773,1.02308387350493e-05,0.00161970251286131,0.00142938288832288,CCL13/CCL20/CTSG/CXCL1/CXCL10/CXCL12/CXCL6/CXCL8/DEFA4/FCER2/GBP5/GBP7/GNLY/GZMB/GZMH/KNG1/LYZ/MICA/NKG7/S100A12/SEMG1/TREM1,22,1.73228346456693
BP,GO:0050920,regulation of chemotaxis,31/1175,216/18986,0.143518518518519,2.31901497241923,5.00754138044216,1.0471550758183e-05,0.00161970251286131,0.00142938288832288,ANO6/ARTN/C3AR1/C5AR1/CCL2/CCL5/CCN3/CCR4/CD74/CXCL10/CXCL12/CXCL8/DNM1L/F3/FGF10/FPR2/IL16/LPAR1/MET/MSTN/NRP1/PDGFD/POU4F2/PTK2/PTPRO/RIPOR2/SLAMF8/TBR1/THBS1/VEGFC/WNT3A,31,1.43518518518519
BP,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,36/1175,274/18986,0.131386861313869,2.12298804162137,4.80917289636282,1.58429902489109e-05,0.00238052244911492,0.00210080433105107,ADCY6/ADGRB2/ADGRD2/ADGRE1/ADGRG3/ADGRG6/ADGRL3/ADORA1/ARRDC3/CALCRL/CXCL10/FPR1/FPR2/GNG2/GPR176/GRM1/GRM4/GRM6/HTR4/HTR7/LPAR1/MARCO/MCHR1/MIR30E/MRAP2/OPRM1/PRKACB/PSAPL1/PTGER2/PTGER4/PTGFR/PTGIR/RAMP3/RGS2/RXFP2/S1PR3,36,1.31386861313869
BP,GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,17/1175,86/18986,0.197674418604651,3.19408213755567,5.23782865827246,1.74098156492122e-05,0.00254328390275575,0.00224444085372446,ADCY6/ADORA1/FPR2/GPR176/GRM1/GRM4/GRM6/LPAR1/MARCO/MCHR1/MIR30E/OPRM1/PSAPL1/PTGER4/RGS2/RXFP2/S1PR3,17,1.97674418604651
BP,GO:0060078,regulation of postsynaptic membrane potential,24/1175,151/18986,0.158940397350993,2.5682062843455,4.96922811237747,1.86374697036909e-05,0.00264903927491109,0.00233776967065642,ADORA1/CHRNA10/CHRNA6/CUX2/GABRA1/GABRA4/GABRB1/GABRD/GABRE/GLRA1/GRIK2/GRM1/KCNA2/KCND2/KCNK1/KCTD16/MAPK8IP2/MET/MIR30B/NPFF/P2RX5/RIMS1/STX1A/SYNE1,24,1.58940397350993
BP,GO:0000768,syncytium formation by plasma membrane fusion,14/1175,62/18986,0.225806451612903,3.64864790665752,5.36529600650274,1.97631722207991e-05,0.0026649877617739,0.00235184416522275,ADAM12/ADAMTS15/CACNA1H/CD53/CD9/CXCL10/DCSTAMP/EHD2/GDF15/MYOG/NEO1/PLEKHO1/PTGFRN/RIPOR2,14,2.25806451612903
BP,GO:0140253,cell-cell fusion,14/1175,62/18986,0.225806451612903,3.64864790665752,5.36529600650274,1.97631722207991e-05,0.0026649877617739,0.00235184416522275,ADAM12/ADAMTS15/CACNA1H/CD53/CD9/CXCL10/DCSTAMP/EHD2/GDF15/MYOG/NEO1/PLEKHO1/PTGFRN/RIPOR2,14,2.25806451612903
BP,GO:0010975,regulation of neuron projection development,51/1175,452/18986,0.11283185840708,1.82317077763133,4.54940567430303,2.43434015952938e-05,0.0031471818003731,0.0027773790410114,ADCY6/AMIGO1/APBB1/CAPRIN2/CDKL5/CHODL/CNTN1/CSMD3/CUX2/CXCL12/EFNA5/ELAVL4/EPHA7/FEZ1/FGF13/GPRASP3/HECW1/HES1/KIF26A/L1CAM/LPAR1/LRP4/LRRC4C/LZTS3/MAGI2/MAP6/MCF2/MT3/MUSK/NDRG4/NEO1/NEUROG3/NFATC4/NR2F1/NRP1/NTNG1/NTNG2/NTRK2/PACSIN1/PLXND1/POU4F2/PPFIA2/PTK7/PTPRO/RGS2/S100A9/SPOCK1/SYNE1/TBR1/VIM/WNT3A,51,1.1283185840708
BP,GO:0002685,regulation of leukocyte migration,32/1175,236/18986,0.135593220338983,2.19095564370718,4.72858319525326,2.45359296092978e-05,0.0031471818003731,0.0027773790410114,ADORA1/ANO6/C3AR1/C5AR1/CCL2/CCL20/CCL24/CCL5/CCN3/CD200R1/CD74/CD9/CD99/CHST2/CHST4/CXCL10/CXCL12/CXCL8/DNM1L/FPR2/GDF15/KITLG/MADCAM1/MSTN/PDGFD/PTGER4/PTK2/RIPOR2/SLAMF8/THBS1/TNFRSF14/VEGFC,32,1.35593220338983
BP,GO:0042391,regulation of membrane potential,52/1175,466/18986,0.111587982832618,1.80307186558305,4.50823930120368,2.74695727684305e-05,0.00343289077825516,0.00302951640622632,ABCC9/ACTN2/ADORA1/ANK3/CACNA1H/CACNA2D1/CAMK2D/CAV1/CD36/CHRNA10/CHRNA6/CTNNA3/CUX2/DSG2/FGF13/GABRA1/GABRA4/GABRB1/GABRD/GABRE/GLRA1/GPR35/GRIK2/GRM1/KCNA2/KCNA3/KCNC4/KCND2/KCND3/KCNH6/KCNJ3/KCNK1/KCNMB4/KCNQ3/KCNS3/KCTD16/MAPK8IP2/MET/MIR30B/NPFF/NTRK2/P2RX5/RIMS1/RIMS3/SLC25A27/SLC4A3/SLC4A4/SLC4A8/SLC8A1/STX1A/SYNE1/ZMPSTE24,52,1.11587982832618
BP,GO:0050918,positive chemotaxis,15/1175,72/18986,0.208333333333333,3.36631205673759,5.16685952946747,2.80688920830903e-05,0.00343289077825516,0.00302951640622632,ARTN/BMP4/CCL5/CCR4/CXCL10/CXCL12/CXCL8/F3/FGF10/FPR2/HGF/IL16/MET/NRP1/VEGFC,15,2.08333333333333
BP,GO:0021536,diencephalon development,16/1175,81/18986,0.197530864197531,3.19176254268453,5.07724068348725,3.0834082998743e-05,0.0036853736929634,0.00325233186462818,ARX/BMP4/FGF10/HES1/ISL1/LHX3/NOG/NR4A2/NRP1/OLIG2/POU1F1/POU4F1/PRDM13/RAX/SOX3/TAL2,16,1.97530864197531
BP,GO:0001763,morphogenesis of a branching structure,29/1175,207/18986,0.140096618357488,2.26372289032789,4.69548952563282,3.15555697188205e-05,0.00368779424780615,0.00325446799743344,BMP4/COL13A1/COL4A1/CRIPTO/DLX2/EPHA7/ESR1/FGF10/FGF13/FOXD1/HGF/HOXB7/HS3ST3A1/KRAS/LEF1/MAGED1/MET/NFATC4/NOG/NRP1/PGR/PLXND1/PRDM1/RSPO2/SPINT1/SPRY1/TIE1/TMEM59L/TNC,29,1.40096618357488
BP,GO:1990266,neutrophil migration,19/1175,108/18986,0.175925925925926,2.84266351457841,4.93241949752776,3.22628131586179e-05,0.00368848118263416,0.00325507421547703,C3AR1/C5AR1/CD74/CD99/CXCL1/CXCL10/CXCL5/CXCL6/CXCL8/DNM1L/ITGA1/ITGB2/MCOLN2/RIPOR2/S100A12/S100A8/S100A9/SLAMF8/TREM1,19,1.75925925925926
BP,GO:0071805,potassium ion transmembrane transport,30/1175,219/18986,0.136986301369863,2.21346546196444,4.63908289002515,3.57951108360034e-05,0.00400524442311791,0.00353461687964029,ABCC9/ACTN2/AMIGO1/ANK3/ANO6/CAV1/DPP10/FXYD2/KCNA2/KCNA3/KCNC4/KCND2/KCND3/KCNH6/KCNIP3/KCNJ3/KCNK1/KCNMB4/KCNN1/KCNQ3/KCNQ4/KCNS3/LRRC52/MCOLN3/PKD2L1/PRNP/SLC12A1/SLC9C2/TMEM38A/TRPM5,30,1.36986301369863
