ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,richFactor
BP,GO:0050673,epithelial cell proliferation,52/1175,482/18986,0.107883817427386,1.74321885759689,4.24509596003278,6.71655019559025e-05,0.00588705624643485,0.00519531049339603,ARX/BCL11B/BMP4/C5AR1/CASK/CAV1/CCL2/CCL24/CCL5/CCN3/CCND1/CLEC12B/CXCL12/DACH1/EDNRB/EGFR/EGR3/ESR1/F3/FERMT1/FGF10/FGL1/FLT1/FUT1/HES1/HGF/HRAS/IGFBP3/IRS2/KIT/MAGED1/MIR30B/MIR30E/NGFR/NODAL/NOG/NRP1/OSR2/PGR/PTPRN/RAP1GAP/RASGRF1/RGCC/SERPINB1/ST8SIA1/TGFBR3/THBS1/TIE1/TNFSF12/TWIST1/WNT3A/ZNF703,52,1.07883817427386
BP,GO:0010975,regulation of neuron projection development,51/1175,452/18986,0.11283185840708,1.82317077763133,4.54940567430303,2.43434015952938e-05,0.0031471818003731,0.0027773790410114,ADCY6/AMIGO1/APBB1/CAPRIN2/CDKL5/CHODL/CNTN1/CSMD3/CUX2/CXCL12/EFNA5/ELAVL4/EPHA7/FEZ1/FGF13/GPRASP3/HECW1/HES1/KIF26A/L1CAM/LPAR1/LRP4/LRRC4C/LZTS3/MAGI2/MAP6/MCF2/MT3/MUSK/NDRG4/NEO1/NEUROG3/NFATC4/NR2F1/NRP1/NTNG1/NTNG2/NTRK2/PACSIN1/PLXND1/POU4F2/PPFIA2/PTK7/PTPRO/RGS2/S100A9/SPOCK1/SYNE1/TBR1/VIM/WNT3A,51,1.1283185840708
BP,GO:0023061,signal release,51/1175,493/18986,0.103448275862069,1.67154805575935,3.88040408505986,0.000222787181483055,0.0134671010048205,0.0118846785621148,ADORA1/ADORA3/CADPS2/CASK/CCL5/CCN3/CHRNA6/CPE/CPLX4/CXCL12/DOC2A/DYSF/ECRG4/EDNRB/EFNA5/EGFR/F2R/FGF20/FOXD1/GPR158/GPR27/GRM4/HLA-DRB1/HNF1A/ILDR2/IRS2/ISL1/KCNA2/KCNMB4/LIN7A/MAP2K6/NIBAN2/NR0B2/OPRM1/PORCN/PPFIA2/PTGS2/PTPRN/RIMS1/RIMS3/SLC16A10/SLC38A2/SLC4A8/STX1A/SV2A/SV2C/SYN2/SYT11/TM7SF3/TNFRSF11A/TRPM5,51,1.03448275862069
BP,GO:0010720,positive regulation of cell development,50/1175,460/18986,0.108695652173913,1.75633672525439,4.21777450221907,7.63070318324488e-05,0.00657866689191554,0.00580565493268795,AMIGO1/ARID2/AXL/BMP4/CAPRIN2/CD101/CD74/CD86/CDKL5/CHODL/CR1/CUX2/CXCL12/DCSTAMP/EFNA5/EGFR/EGR2/EGR3/GPRASP3/HES1/HLA-DRB1/IL15/IL23R/IL5/IL7R/KIT/KITLG/KRAS/L1CAM/LEF1/LILRB2/MAP6/MYOG/NCAN/NRP1/NTRK2/OLIG2/OPRM1/PLXND1/POU4F1/POU4F2/PRKCH/SPINT1/TESC/TNFRSF11A/TRIB1/VEGFC/VNN1/WNT3A/ZBTB16,50,1.08695652173913
BP,GO:0043269,regulation of monoatomic ion transport,50/1175,480/18986,0.104166666666667,1.68315602836879,3.89371649551408,0.000216897277455588,0.0132635207225458,0.0117050195385763,ABCC9/ACTN2/ADORA1/AMIGO1/ANK3/ANO6/CACNA2D1/CALHM1/CAMK2D/CASK/CAV1/CCL2/CCL5/CNTN1/CXCL10/CXCL12/DPP10/EFHB/F2R/FGF13/FXYD2/FXYD6/GABRE/GEM/GPR35/GRM6/HES1/HRC/IL16/JPH2/KCNIP3/KCNJ3/KCNS3/LILRB2/LRRC52/MCHR1/MCUB/MMP9/NKAIN1/P2RX5/PRNP/PTGS2/SEMG1/SLC8A1/TCAF2/TESC/TMEM38A/TRPC1/TRPC6/TRPV3,50,1.04166666666667
BP,GO:0034762,regulation of transmembrane transport,50/1175,487/18986,0.102669404517454,1.65896282056883,3.78382766809324,0.000305513198386497,0.0170285562109175,0.0150276527124299,ABCC9/ACSL1/ACTN2/AMIGO1/ANK3/ANO6/C2CD5/C3/CACNA2D1/CACNG5/CALHM1/CAMK2D/CAV1/CCL2/CXCL10/DPP10/F2R/FGF13/FXYD2/FXYD6/GEM/GPR35/GRM6/HK2/HRC/IRS2/JPH2/KCNIP3/KCNJ3/KCNS3/KLF15/LRRC52/MAPK8IP2/MCUB/MIR326/MMP9/OPRM1/P2RX5/POU4F2/PRNP/RGS2/SLC25A27/SLC38A1/SLC8A1/TCAF2/TESC/THBS1/TMEM38A/TRPC1/TRPC6,50,1.02669404517454
BP,GO:0007389,pattern specification process,49/1175,476/18986,0.102941176470588,1.66335419274093,3.7646605898184,0.000328798460949283,0.0174611684513504,0.0154094317915161,ALX4/BARX1/BMP4/C3/CAPRIN2/CELSR2/CRIPTO/DLL3/DLX2/DMRT3/EGR2/ENKUR/ERBB4/FGF10/FOXC1/FOXD1/GSC/HES1/HEYL/HIPK1/HOXB7/ISL1/ITGAM/LEF1/LFNG/LHX3/LRP4/MAFB/MEIS1/MESP1/MFNG/MSX1/NDRG4/NODAL/NOG/NRG3/NRP1/OSR2/PKD1L1/RAX/RIPPLY3/SIM2/SOX1/SPRY1/TBR1/TDRD6/UNCX/WNT3A/ZBTB16,49,1.02941176470588
BP,GO:0042692,muscle cell differentiation,48/1175,432/18986,0.111111111111111,1.79536643026005,4.29507188077605,6.14832815244899e-05,0.00557483754374642,0.00491977837098868,ACTN2/ADAM12/ADAMTS15/ALPK3/BMP4/CACNA1H/CCN3/CD53/CD9/CXCL10/EDNRB/EHD2/FGF10/GDF15/HDAC9/HES1/ISL1/KIT/KRAS/LAMB2/MEGF10/MEIS1/MESP1/MSX1/MYL9/MYLK3/MYOG/NEBL/NEO1/NFATC4/OBSCN/PGM5/PLEC/PLEKHO1/PRDM6/PTGFRN/RBM38/RGS2/RIPOR2/RYR1/SLC8A1/SYNE1/SYPL2/TCF23/WNT3A/WNT5B/YBX1/ZMPSTE24,48,1.11111111111111
BP,GO:0050727,regulation of inflammatory response,48/1175,438/18986,0.10958904109589,1.77077236957155,4.19174380977391,8.63712037145769e-05,0.00732622839249936,0.00646537584342224,ADORA1/ALOX15/ALOX5AP/BIRC3/C3/CCL24/CCL5/CCN3/CD200R1/CD200R1L/CST7/EDNRB/ENPP3/ESR1/F12/FPR2/GBP5/GPR17/GSDMD/HGF/HLA-DRB1/IL15/IL16/IL17RA/IRGM/ISL1/MAP3K8/MAPK13/MGLL/MIR3909/MIR920/MMP9/NCF1/NKG7/NLRP12/NLRP14/PLA2G2D/PTGER4/PTGS2/S100A12/S100A8/S100A9/SCGB1A1/SLAMF8/SYT11/TLR7/TNC/TNFRSF11A,48,1.0958904109589
BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,47/1175,168/18986,0.279761904761905,4.52047619047619,11.7719769333221,5.55850097242934e-19,2.92321566140059e-15,2.57972955657273e-15,AMIGO1/AMIGO2/CADM2/CDH22/CDHR1/CEACAM6/CELSR2/CELSR3/CNTN4/DSC3/DSG2/L1CAM/PCDH11X/PCDH9/PCDHB10/PCDHB11/PCDHB12/PCDHB13/PCDHB14/PCDHB15/PCDHB16/PCDHB5/PCDHB6/PCDHB7/PCDHB8/PCDHB9/PCDHGA1/PCDHGA10/PCDHGA11/PCDHGA12/PCDHGA2/PCDHGA3/PCDHGA4/PCDHGA5/PCDHGA6/PCDHGA7/PCDHGA8/PCDHGA9/PCDHGB1/PCDHGB2/PCDHGB3/PCDHGB4/PCDHGB5/PCDHGB6/PCDHGB7/PTK7/SDK2,47,2.79761904761905
BP,GO:0043410,positive regulation of MAPK cascade,47/1175,472/18986,0.0995762711864407,1.60898305084746,3.44117023232595,0.00088528349942572,0.0321083167136542,0.0283354987220907,ACKR3/ADORA1/ALOX15/BMP4/C5AR1/CCN2/CD36/CD74/CRIPTO/EGFR/ERBB4/F2R/FGF10/FGF20/FLT1/FLT3/FPR2/GDF15/GRM1/GRM4/HGF/HLA-DRB1/HRAS/IGFBP3/ITGA1/KIT/KSR2/LPAR1/MAGED1/MAP2K6/MAPK8IP2/MARCO/MT3/NDRG4/NDST1/NELFE/NODAL/NRP1/NTRK2/OPRM1/PDE6H/PDGFD/RAMP3/S100A12/SH3RF3/THBS1/TNFRSF11A,47,0.995762711864407
BP,GO:0043086,negative regulation of catalytic activity,47/1175,486/18986,0.0967078189300412,1.56263374485597,3.2272910141927,0.0016216396417687,0.0463489286742478,0.0409027985157792,A2M/A2ML1/ANXA8/CAV1/COL7A1/CR1/CST7/EDNRB/HEXIM2/HRAS/IFIT1/IRS2/KNG1/LAMP3/LRP1/LTB4R2/MIR339/MMP9/MSTN/MT3/NES/PKIA/PLAUR/PLIN5/PRKCH/PRNP/PTGS2/PTPRO/RASA4/RGS2/SERPINB1/SERPINB10/SERPINC1/SERPING1/SLC8A1/SPINT1/SPOCK1/SPOCK2/SPRED1/TFPI/THBS1/TIMP3/TIMP4/TRIB1/TRIB2/WWTR1/ZFYVE28,47,0.967078189300412
BP,GO:0002009,morphogenesis of an epithelium,47/1175,500/18986,0.094,1.51888,3.02002502274104,0.00284754972559861,0.0653941659690965,0.05771016658315,ALDH1A3/BMP4/CCN1/COL4A1/COL5A1/CXCL10/EGFR/EPHA7/ERBB4/ESR1/FERMT1/FGF10/FOXD1/FOXE1/GREB1/HES1/HGF/HOXB7/HS3ST3A1/KRAS/LEF1/MAGED1/MESP1/MET/NDRG4/NFATC4/NGFR/NODAL/NOG/NPHP1/NRP1/PGR/PLXND1/PRKACB/PTK7/RHOC/RSPO2/SPINT1/SPRY1/TIE1/TMEM59L/TNC/TRIM71/TWIST1/VEGFC/WNT3A/WNT5B,47,0.94
BP,GO:0048880,sensory system development,46/1175,422/18986,0.109004739336493,1.76133104769588,4.06231941900135,0.000136282552678199,0.00930792135759281,0.00821421428240844,ADAMTS9/ALDH1A3/BCL11B/BMP4/C3/COL4A1/COL5A1/CRYBA2/CRYGN/DLX2/DZANK1/EGFR/EPHB1/FGF10/FLT1/FOXC1/GRM6/HES1/HIPK1/ISL1/ITGAM/LAMB2/MAB21L1/MEIS1/NES/NPHP1/NRP1/NTRK2/OLFM3/OSR2/POU4F1/POU4F2/PRDM1/RAX/RPE65/SAMD11/SDK2/SHROOM2/SOX1/SPRED1/SPRY1/TWIST1/USH1C/VIM/VSX1/WNT5B,46,1.09004739336493
BP,GO:0014706,striated muscle tissue development,46/1175,424/18986,0.108490566037736,1.75302288237656,4.0277156250741,0.000152103915517586,0.0101378079856173,0.00894658688535674,ABCC9/ACTN2/ADAMTS9/ALPK3/ARID2/ATF3/BMP4/CAV1/DSG2/EGR1/EGR2/EPHB1/ERBB4/FGF20/FOXC1/HDAC9/HEYL/ISL1/JPH2/KRAS/LEF1/MCUB/MEGF10/MEIS1/MESP1/MSTN/MSX1/MYLK3/MYOG/NDRG4/NEBL/NOG/PAX5/PGM5/PLEC/POU4F1/RGS2/RYR1/SGCG/SLC8A1/SYNE1/TGFBR3/TNNC1/TWIST1/WNT3A/ZMPSTE24,46,1.08490566037736
BP,GO:0060537,muscle tissue development,46/1175,447/18986,0.102908277404922,1.66282259983816,3.64240303709479,0.000497210303073592,0.0223489656740515,0.0197228990216057,ABCC9/ACTN2/ADAMTS9/ALPK3/ARID2/ATF3/BMP4/CAV1/DSG2/EGR1/EGR2/EPHB1/ERBB4/FGF20/FOXC1/HDAC9/HEYL/ISL1/JPH2/KRAS/LEF1/MCUB/MEGF10/MEIS1/MESP1/MSTN/MSX1/MYLK3/MYOG/NDRG4/NEBL/NOG/PAX5/PGM5/PLEC/POU4F1/RGS2/RYR1/SGCG/SLC8A1/SYNE1/TGFBR3/TNNC1/TWIST1/WNT3A/ZMPSTE24,46,1.02908277404922
BP,GO:0048568,embryonic organ development,46/1175,458/18986,0.100436681222707,1.62288581250581,3.46582786617743,0.000834897847530551,0.0309206181701632,0.027287358115361,A2M/ALDH1A3/ALX1/ALX4/ARID2/BMP4/CCN1/CHRNA10/CXCL8/DLX2/EGFR/EPAS1/FGF10/FOXC1/FOXE1/GRXCR2/GSC/HES1/HIPK1/HMX3/HOXB7/KCNQ4/KIT/KITLG/LEF1/MAFB/MESP1/MSX1/MYO3B/NDRG4/NDST1/NES/NODAL/NOG/OSR2/PAX5/PRDM1/PTK7/SPINT1/STRC/TEAD1/TTPA/TWIST1/USH1C/WNT3A/ZNF568,46,1.00436681222707
BP,GO:0042327,positive regulation of phosphorylation,46/1175,479/18986,0.0960334029227557,1.55173633012037,3.14131442265931,0.0020747933080427,0.0533789568382939,0.0471067784950186,BMP4/C3/CARD10/CAV1/CCL5/CCN1/CCND1/CCND2/CD36/CD74/CRIPTO/EFNA5/EGFR/EPHA7/ERBB4/FGF10/FLT1/FLT3/HES1/HLA-DRB1/HRAS/IL15/IL5/IRGM/KIT/KITLG/KRAS/LRP4/MAGED1/MIR30B/MMP9/MT3/MUSK/NRP1/NTRK2/PLAUR/PRNP/PSRC1/PTGS2/PTK2/RGCC/S100A12/THBS1/TNFRSF11A/VEGFC/WNT3A,46,0.960334029227557
BP,GO:0097529,myeloid leukocyte migration,45/1175,243/18986,0.185185185185185,2.99227738376675,8.02811289901102,3.02595121729823e-11,2.6522462419619e-08,2.34059981001191e-08,ANO6/C3AR1/C5AR1/CCL13/CCL2/CCL23/CCL24/CCL5/CCN3/CD200R1/CD74/CD9/CD99/CTSG/CXCL1/CXCL10/CXCL12/CXCL5/CXCL6/CXCL8/DNM1L/EDNRB/FLT1/FPR2/IL17RA/IL17RC/ITGA1/ITGB2/KIT/KITLG/MCOLN2/MSTN/PDGFD/PTGER4/PTK2/PTPRO/RIPOR2/S100A12/S100A8/S100A9/SLAMF8/THBS1/TNFRSF11A/TREM1/VEGFC,45,1.85185185185185
BP,GO:0006959,humoral immune response,45/1175,310/18986,0.145161290322581,2.34555936856555,6.13510303628793,8.24382389077282e-08,2.70964186509839e-05,2.39125128515904e-05,A2M/BPI/C1S/C3/C4BPA/CCL13/CCL2/CCL20/CCL23/CCL24/CCL5/CD5L/CLU/CR1/CR1L/CR2/CTSG/CXCL1/CXCL10/CXCL12/CXCL5/CXCL6/CXCL8/DEFA4/DEFB1/FCER2/FCMR/GNLY/GPI/H2BC10/H2BC4/HLA-DQB1/HLA-DRB1/KNG1/LYZ/PRSS3/RGCC/RNASE3/RNASE6/S100A12/S100A9/SEMG1/SERPING1/SPON2/TREM1,45,1.45161290322581
BP,GO:0070588,calcium ion transmembrane transport,45/1175,348/18986,0.129310344827586,2.08943506969919,5.26831096969111,2.23238424231961e-06,0.000559052796683755,0.000493362512500611,ANO6/ATP2B3/CACNA1A/CACNA1B/CACNA1E/CACNA1H/CACNA2D1/CACNG5/CALHM1/CAMK2D/CAV1/CCR5/CHRNA10/CNGA1/CXCL10/EDNRB/F2R/GEM/GP9/GPR35/GRM6/HRC/ITPR2/JPH2/MCOLN2/MCOLN3/MCUB/OPRM1/P2RX5/PANX3/PKD1L1/PKD1L3/PKD2L1/PLCB4/PLCH1/PRNP/RYR1/SLC8A1/TMEM38A/TRPC1/TRPC6/TRPC7/TRPM5/TRPV3/WNT3A,45,1.29310344827586
BP,GO:0010959,regulation of metal ion transport,45/1175,408/18986,0.110294117647059,1.78216520650814,4.10212771571047,0.000122448434580941,0.0090698072881855,0.00800407928936057,ABCC9/ACTN2/ADORA1/AMIGO1/ANK3/ANO6/CACNA2D1/CAMK2D/CASK/CAV1/CCL2/CCL5/CNTN1/CXCL10/CXCL12/DPP10/EFHB/F2R/FGF13/FXYD2/FXYD6/GEM/GPR35/GRM6/HES1/HRC/IL16/JPH2/KCNIP3/KCNS3/LILRB2/LRRC52/MCHR1/MCUB/NKAIN1/P2RX5/PRNP/PTGS2/SEMG1/SLC8A1/TESC/TMEM38A/TRPC1/TRPC6/TRPV3,45,1.10294117647059
BP,GO:0007159,leukocyte cell-cell adhesion,45/1175,430/18986,0.104651162790698,1.69098466105888,3.72254995757181,0.000397129942396906,0.019160608872159,0.0169091831581647,ARID2/BMP4/CARD11/CAV1/CCL2/CCL5/CD6/CD74/CD86/CHST2/CHST4/CR1/CTSG/CXCL12/EGR3/FGL1/HES1/HHLA2/HLA-DQB1/HLA-DRB1/HLA-DRB5/IL15/IL23R/IL7R/ILDR2/ITGB2/ITGB7/KITLG/LEF1/LILRB2/MADCAM1/MAP3K8/MIR30B/PLA2G2D/PLA2G2F/PRNP/RASAL3/RIPOR2/S100A8/S100A9/SCGB1A1/SKAP1/TNFRSF14/VNN1/ZBTB16,45,1.04651162790698
BP,GO:0001934,positive regulation of protein phosphorylation,45/1175,455/18986,0.0989010989010989,1.59807341594576,3.31658285395641,0.00129293057045858,0.0412092234547979,0.0363670231907615,BMP4/C3/CARD10/CAV1/CCN1/CCND1/CCND2/CD36/CD74/CRIPTO/EFNA5/EGFR/EPHA7/ERBB4/FGF10/FLT1/FLT3/HES1/HLA-DRB1/HRAS/IL15/IL5/IRGM/KIT/KITLG/KRAS/LRP4/MAGED1/MIR30B/MMP9/MT3/MUSK/NRP1/NTRK2/PLAUR/PRNP/PSRC1/PTGS2/PTK2/RGCC/S100A12/THBS1/TNFRSF11A/VEGFC/WNT3A,45,0.989010989010989
BP,GO:0150063,visual system development,44/1175,415/18986,0.106024096385542,1.71316893104332,3.7729313282239,0.000346805444807991,0.0175907966629104,0.0155238283217286,ADAMTS9/ALDH1A3/BCL11B/BMP4/C3/COL4A1/COL5A1/CRYBA2/CRYGN/DLX2/DZANK1/EGFR/EPHB1/FGF10/FLT1/FOXC1/GRM6/HES1/HIPK1/ITGAM/LAMB2/MAB21L1/MEIS1/NES/NPHP1/NRP1/NTRK2/OLFM3/OSR2/POU4F2/PRDM1/RAX/RPE65/SAMD11/SDK2/SHROOM2/SOX1/SPRED1/SPRY1/TWIST1/USH1C/VIM/VSX1/WNT5B,44,1.06024096385542
BP,GO:0040013,negative regulation of locomotion,44/1175,416/18986,0.105769230769231,1.70905073649755,3.75576238567469,0.000365252020417242,0.0181086745920183,0.0159808541300045,ADAMTS9/ADORA1/ADORA3/ARID2/ARRDC3/BMERB1/BMP4/CARD10/CCL2/CCN3/CD200R1/CD74/CXCL12/DACH1/DNAI3/ERBB4/GDF15/GPR173/IGFBP3/LRP1/MAGI2/NDRG4/NGFR/NODAL/NOG/NRG3/NRP1/PTGER4/PTPRO/RGCC/RIPOR2/SEMG1/SERPINB1/SINHCAF/SLAMF8/SPRED1/SRGAP1/TGFBR3/THBS1/TIE1/TMEM196/TMIGD3/TRIB1/WNT3A,44,1.05769230769231
